"lyrics","song","artist"
"Sorry if it's hard to catch my vibe, mmm
I need a lover to trust, tell me you're on my side
Are you down for the ride?
It's not easy for someone to catch my eye
But I've been waiting for you for my whole damn life
For my whole lifetime

Don't be afraid to tell me if you ain't with it
I see you're focused, yeah, you're so independent
It's hard for me to open up, I'll admit it
You've got some shit to say, and I'm here to listen

So, baby, tell me where your love lies
Waste the day and spend the night
Underneath the sunrise
Show me where your love lies

I've been so into your mystery
Is it because of our history?
Are you into me?
When it feels so good, but it's bad for you
Can't say I don't want it 'cause I know I do
Come on over, I need your company
Craving that synergy

Don't be afraid to tell me if you ain't with it
I see you're focused, yeah, you're so independent
It's hard for me to open up, I'll admit it
You've got some shit to say, and I'm here to listen

So, baby, tell me where your love lies
Waste the day and spend the night
Underneath the sunrise
Show me where your love lies

Tell me where your love lies
Waste the day and spend the night
Underneath the sunrise
Show me where your love lies

If you're down, don't hide it
Feeling me, you don't gotta deny it
Baby, you gon' make me overnight it
Tell me, are you down?

If you're down, don't hide it (yeah)
Feeling me, you don't gotta deny it (yeah)
Baby, you gon' make me overnight it
Tell me, are you down? (Tell me)

Tell me where your love lies (tell me where your love lies, yeah)
Waste the day and spend the night (waste the day, spend the night)
Underneath the sunrise (underneath the sunrise)
Show me where your love lies (tell me where your love lies)

Tell me where your love lies (show me where your love lies)
Waste the day and spend the night (yeah-yeah)
Underneath the sunrise (ooh)
Show me where your love lies
","Love Lies","Khalid & Normani"
"Right now, I'm in a state of mind
I wanna be in, like, all the time
Ain't got no tears left to cry
So I'm pickin' it up, pickin' it up (oh yeah)
I'm lovin', I'm livin', I'm pickin' it up

I'm pickin' it up, pickin' it up
I'm lovin', I'm livin', I'm pickin' it up

I'm pickin' it up (yeah), pickin' it up (yeah)
Lovin', I'm livin', so we turnin' up
Yeah, we turnin' it up

Ain't got no tears in my body
I ran out, but boy, I like it, I like it, I like it
Don't matter how, what, where, who tries it
We're out here vibin', we vibin', we vibin'

Comin' out, even when it's rainin' down
Can't stop now, can't stop so shut your mouth
Shut your mouth, and if you don't know
Then now you know it, babe
Know it, babe, yeah

Right now, I'm in a state of mind
I wanna be in, like, all the time
Ain't got no tears left to cry
So I'm pickin' it up, pickin' it up (oh yeah)
I'm lovin', I'm livin', I'm pickin' it up

Oh, I just want you to come with me
We're on another mentality
Ain't got no tears left to cry
So I'm pickin' it up, pickin' it up
I'm lovin', I'm livin', I'm pickin' it up
Pickin' it up, pickin' it up
I'm lovin', I'm livin', I'm pickin' it up (oh, yeah)
Yeah, we turnin' it up

They point out the colors in you, I see 'em too
And, boy, I like 'em, I like 'em, I like 'em
We're way too fly to partake in all this hate
We out here vibin', we vibin', we vibin'

Comin' out, even when it's rainin' down
Can't stop now, can't stop, so shut your mouth
Shut your mouth, and if you don't know
Then now you know it, babe
Know it, babe, yeah

Right now, I'm in a state of mind
I wanna be in, like, all the time
Ain't got no tears left to cry
So I'm pickin' it up, pickin' it up (oh yeah)
I'm lovin', I'm livin', I'm pickin' it up

Oh, I just want you to come with me
We're on another mentality
Ain't got no tears left to cry (so don't cry)
So I'm pickin' it up, pickin' it up (oh yeah)
I'm lovin', I'm livin', I'm pickin' it up

Comin' out, even when it's rainin' down
Can't stop now
Shut your mouth
Ain't got no tears left to cry
Oh yeah, oh yeah

Oh, I just want you to come with me
We're on another mentality
Ain't got no tears left to cry (cry)
So I'm pickin' it up, pickin' it up (oh yeah)
I'm lovin', I'm livin', I'm pickin' it up

Pickin' it up (yeah), pickin' it up (yeah)
Lovin', I'm livin', so we turnin' up
Yeah, we turnin' it up
","no tears left to cry","Ariana Grande"
"Just a young gun with a quick fuse
I was uptight, wanna let loose
I was dreaming of bigger things and
Wanna leave my own life behind
Not a ""Yes, sir"", not a follower
Fit the box, fit the mold, have a seat
In the foyer, take a number
I was lightning before the thunder (thunder)

Thunder, thunder, thun-
Thunder, th-th-thunder, thunder
Thunder, thunder, thun-
Thunder, th-th-thunder, thunder

Thunder, feel the thunder (thun-, thun-)
Lightning then the thunder (th-th-thunder, thunder)
Thunder, feel the thunder (thun-, thun-)
Lightning then the thunder, thunder (th-th-thunder, thunder)

Thunder
Thunder

Kids were laughing in my classes
While I was scheming for the masses
Who do you think you are?
Dreaming 'bout being a big star
They say, ""You're basic"", they say, ""You're easy""
You're always riding in the backseat
Now I'm smiling from the stage while
You were clapping in the nosebleeds

Thunder, thunder, thun-
Thunder, th-th-thunder, thunder
Thunder, thunder, thun-
Thunder, th-th-thunder, thunder

Thunder, feel the thunder (thun-, thun-)
Lightning then the thunder (th-th-thunder, thunder)
Thunder, feel the thunder (thun-, thun-)
Lightning then the thunder, thunder (th-th-thunder, thunder)

Thunder, feel the thunder
Lightning then the thunder, thunder

Thunder, feel the thunder (thun-, thun-)
Lightning then the thunder, thunder (th-th-thunder, thunder)
Thunder, feel the thunder (thun-, thun-)
Lightning then the thunder, thunder (th-th-thunder, thunder)

Thunder, feel the thunder (never give up, never give up)
Lightning then the thunder, thunder (never give up on your dreams)
Thunder, feel the thunder (never give up, never give up)
Lightning then the thunder, thunder (never give up on your dreams)

Thunder, thunder, thun-
Thunder, th-th-thunder, thunder
Thunder, thunder, thun-
Thunder, th-th-thunder, thunder

(Whoa-oh-oh) thunder, thunder, thun-
Thunder, th-th-thunder, thunder
(Whoa-oh-oh) thunder, thunder, thun-
Thunder, th-th-thunder, thunder
","Thunder","Imagine Dragons"
"Tay Keith, fuck these niggas on
Yeah, yeah (Ooh)
Yeah (6 God, BlocBoy, 6 God, BlocBoy, ooh)
(6 God, BlocBoy, 6 God, BlocBoy, ooh)
Yeah

901 Shelby Drive, look alive, look alive
Niggas came up on this side, now they on the other side
Oh well, fuck 'em dog, we gon' see how hard they ride
I get racks to go outside, and I split it with the guys
We up on the other side, niggas actin' like we tied
I've been gone since like July, niggas actin' like I died
They won't be expectin' shit when Capo go to slide
'Cause I told them that we put that shit behind us, but I lied

Ayy, ayy, look who I'm around, man
If I fucked up, I'ma be downtown, man
Fourth floor bound, man, that's if I get caught, man
Pushed me to the edge
So it really ain't my mothafuckin' fault, man
I'm not to blame, man
This fucking industry is cutthroat, I'm not the same man

And I can let you check the tag, now
I'm rocking name brand
I'm only chasing after bags now
I got a game plan
And I'm out here whipping boots

700, three high fives, look alive, look alive
Niggas came up on this side, now they on the other side
Oh well, fuck 'em dog, we gon' see how hard they ride
I get racks to go outside, and I split it with the guys
We up on the other side, niggas actin' like we tied
I've been gone since like July, niggas actin' like I died
They won't be expectin' shit when Capo go to slide
'Cause I told them that we put that shit behind us, but I

Bitch, come through, you, and you
I'ma get the money, Dr-Dr-Drizzy get the loot
Pull up with that Draco
Play with Drake and I'ma shoot
My weapon be an instrument
I'll blow you like a flute

Nigga play so he feeling it
Pull up broad day with a K, I ain't shivering
Drop a nigga like he littering
We at the door like we the delivery
He not a plug, he middle man
That-that nigga brown like cinnamon
I got the rounds like Sugar Ray Robinson
Shot to the chest have you gasping for oxygen

I'ma spray 'em, just like Febreeze
Came a long way from sitting in the nosebleeds
Now a nigga on the floor talking to the athletes
Man I'm so close to the game I could steal the stat sheet

901 Shelby Drive, look alive, look alive
Niggas came up on this side, now they on the other side
Oh well, fuck 'em dog, we gon' see how hard they ride
I get racks to go outside, and I split it with the guys
We up on the other side, niggas actin' like we tied
I've been gone since like July, niggas actin' like I died
They won't be expectin' shit when Capo go to slide
'Cause I told them that we put that shit behind us, but I lied
","Look Alive (feat. Drake)","BlocBoy JB"
"This ain't for the best
My reputation's never been worse, so
You must like me for me
We can't make
Any promises now, can we, babe?
But you can make me a drink

Dive bar on the East Side, where you at?
Phone lights up my nightstand in the black
Come here, you can meet me in the back
Dark jeans and your Nikes, look at you
Oh damn, never seen that color blue
Just think of the fun things we could do

('Cause I like you)
This ain't for the best
My reputation's never been worse, so
You must like me for me
(Yeah, I want you)
We can't make
Any promises now, can we, babe?
But you can make me a drink

Is it cool that I said all that?
Is it chill that you're in my head?
'Cause I know that it's delicate (delicate)
Is it cool that I said all that?
Is it too soon to do this yet?
'Cause I know that it's delicate

Isn't it, isn't it, isn't it?
Isn't it?
Isn't it, isn't it, isn't it?
Isn't it delicate?

Third floor on the West Side, me and you
Handsome, you're a mansion with a view
Do the girls back home touch you like I do?
Long night with your hands up in my hair
Echoes of your footsteps on the stairs
Stay here, honey, I don't wanna share

('Cause I like you)
This ain't for the best
My reputation's never been worse, so
You must like me for me
(Yeah, I want you)
We can't make
Any promises now, can we, babe?
But you can make me a drink

Is it cool that I said all that?
Is it chill that you're in my head?
'Cause I know that it's delicate (delicate)
Is it cool that I said all that?
Is it too soon to do this yet?
'Cause I know that it's delicate

Isn't it, isn't it, isn't it?
Isn't it?
Isn't it, isn't it, isn't it?
Isn't it delicate?

Sometimes I wonder, when you sleep
Are you ever dreaming of me?
Sometimes when I look into your eyes
I pretend you're mine all the damn time

('Cause I like you)
Is it cool that I said all that?
Is it chill that you're in my head?
'Cause I know that it's delicate (delicate)
(Yeah, I want you)
Is it cool that I said all that?
Is it too soon to do this yet?
'Cause I know that it's delicate (delicate)

('Cause I like you)
Is it cool that I said all that? (Isn't it?)
Is it chill that you're in my head? (Isn't it, isn't it?)
'Cause I know that it's delicate (isn't it delicate?)
(Yeah, I want you)
Is it cool that I said all that? (Isn't it?)
Is it too soon to do this yet? (Isn't it, isn't it?)
'Cause I know that it's delicate

Isn't it delicate?
","Delicate","Taylor Swift"
"Ooh, oh, ooh, oh
Ooh, oh, ooh, oh

You say you love me, I say you crazy
We're nothing more than friends
You're not my lover, more like a brother
I know you since we were like ten, yeah

Don't mess it up, talkin' that shit
Only gonna push me away, that's it
When you say you love me, that make me crazy
Here we go again

Don't go look at me with that look in your eye
You really ain't goin' away without a fight
You can't be reasoned with, I'm done being polite
I've told you one, two, three, four, five, six thousand times

Haven't I made it obvious?
Haven't I made it clear?
Want me to spell it out for you?
F-R-I-E-N-D-S

Haven't I made it obvious?
Haven't I made it clear?
Want me to spell it out for you?
F-R-I-E-N-D-S
F-R-I-E-N-D-S

Have you got no shame? You lookin' insane
Turnin' up at my door
It's two in the mornin', the rain is pourin'
Haven't we been here before?

Don't mess it up, talkin' that shit
Only gonna push me away, that's it
Have you got no shame? You lookin' insane
Here we go again

So don't go look at me with that look in your eye
You really ain't goin' away without a fight
You can't be reasoned with, I'm done being polite
I've told you one, two, three, four, five, six thousand times

Haven't I made it obvious? (Haven't I made it?)
Haven't I made it clear? (Haven't I made it clear?)
Want me to spell it out for you?
F-R-I-E-N-D-S

Haven't I made it obvious?
Haven't I made it clear? (I swear I have)
Want me to spell it out for you? (Want me to spell it out for you?)
F-R-I-E-N-D-S
F-R-I-E-N-D-S

F-R-I-E-N-D-S
That's how you f- spell ""friends""
F-R-I-E-N-D-S
Get that shit inside your head
No, no, yeah, uh, ah
F-R-I-E-N-D-S
We're just friends

So don't go look at me (no) with that look in your eye
You really ain't goin' away without a fight (nah-nah)
You can't be reasoned with, I'm done being polite
I've told you one, two (yeah), three, four, five, six thousand times

Haven't I made it obvious? (Haven't I made it obvious?)
Haven't I made it clear? (Yeah, I made it very clear)
Want me to spell it out for you? (Yo)
F-R-I-E-N-D-S (I said F-R-I-E-N-D-S)

Haven't I made it obvious? (I made it very obvious)
Haven't I made it clear? (I made it very clear)
Want me to spell it out for you?
F-R-I-E-N-D-S
F-R-I-E-N-D-S

Mmm, ooh, ooh, ooh
Ah-oh, ah-oh, ah-oh
","FRIENDS","Marshmello & Anne-Marie"
"Got a boy back home in Michigan
And it tastes like Jack when I'm kissin' him
So I told him that I never really liked his friends
Now he's gone, and he's callin' me a bitch again

There's a guy that lives in the garden state
And he told me that we'd make it 'til we graduate
So I told him that the music would be worth the wait
But he wants me in the kitchen with a dinner plate

I believe, I believe, I believe, I believe
That we're meant to be
But jealousy, jealousy, jealousy, jealousy
Get the best of me
Look, I don't mean to frustrate, but I
Always make the same mistakes, yeah
Always make the same mistakes 'cause

I'm bad at love (ooh-ooh)
But you can't blame me for tryin'
You know I'd be lyin' sayin'
You were the one (ooh-ooh)
That could finally fix me
Lookin' at my history
I'm bad at love

Got a girl with California eyes
And I thought that she could really be the one this time
But I never got the chance to make her mine
Because she fell in love with little thin white lines

London girl with an attitude
We never told no one, but we look so cute
Both got way better things to do
But I always think about it when I'm ridin' through

I believe, I believe, I believe, I believe
That I'm in too deep
And jealousy, jealousy, jealousy, jealousy
Get the best in me
Look, I don't mean to frustrate, but I
Always make the same mistakes, yeah
Always make the same mistakes 'cause

I'm bad at love (ooh-ooh)
But you can't blame me for tryin'
You know I'd be lyin' sayin'
You were the one (ooh-ooh)
That could finally fix me
Lookin' at my history
I'm bad at love (ooh-ooh)

Oh, you know, you know
You know, you know (ooh-ooh)
I'm bad at love (ooh-ooh)
I'm bad at love, yeah (ooh-ooh)

I know that you're afraid I'm gonna walk away
Each time the feelin' fades
Each time the feelin' fades
I know that you're afraid I'm gonna walk away
Each time the feelin' fades

You know I'm bad at love (ooh-ooh)
But you can't blame me for tryin'
You know I'd be lyin' sayin'
You were the one (ooh-ooh)
That could finally fix me
Lookin' at my history
I'm bad at love (ooh-ooh)

Oh, you know, you know
You know, you know (ooh-ooh)
I'm bad at love (ooh-ooh)
Oh, oh
","Bad At Love","Halsey"
"Slide on a pimp game with my pinky ring
Lotta gang, lotta bitches, and a icy chain
Why you claim that you rich?

That's a false claim
I be straight to the whip, no baggage claim
Whole lotta styles, can't even pronounce the name
You don't even got no style, see you on my Instagram

I be rockin' it like it's fresh out the pan
Only when I'm takin' pics, I'm the middleman
Walk, talk it like a boss, I just lift the hand
Three million cash, call me rain man

Money like a shower, that's my rain dance
And we all in black, like it's gangland
Say the wrong word, you be hangman
Watch me stick to your bitch like a spray tan

Aw, Mr. 'What Kind Of Car You In?'
In the city love my name, nigga I ain't gotta say it
Taste, taste, she can get a taste
Taste, taste, she can get a taste

Taste, taste, fuck what a nigga say
It's all the same, like Mary-Kate
Taste, taste, she can get a taste
Taste, taste, let you get a taste

Taste, taste, do you love the taste?
Yeah that's cool but he ain't like me
Lotta girls like me, niggas wanna fight me
Nigga get yo ass checked like a fuckin' Nike

Me not icey, that's unlikely
And she gon' suck me like a fuckin' Hi-C
Aw, chains on the neck for the whole team
And I feel like Gucci with the ice cream

And my bitch want the Fenty, not the Maybelline
I'm the black JB the way these bitches scream
Make these bitches scream
Pretty little thing

Like my nigga A.E, say, gotta lotta mean
Taste, taste, she can get a taste
Taste, taste, she can get a taste
Taste, taste, fuck what a nigga say

It's all the same, like Mary-Kate
Taste, taste, she can get a taste
Taste, taste, let you get a taste
Taste, taste, do you love the taste?

Yeah that's cool
Yeah, I'ma put the drip on the plate (drip, drip)
Diamond ice-glazed, niggas imitate (ice, ice)
Aye, aye feed me grapes Maybach with the drac' (grape)

Slow pace in the Wraith, got this shit from bae
Diamonds up to par, the cookie hittin' hard (hard)
The Rari sit in park, I'm at it, on Mars (Mars)
Shotgun shells, we gon' always hit the target (blaow)

Popcorn bitch shell poppin' out the cartridge (pop it)
3400 Nawfside, Charles Barkley
4-8-8, Ferrari
Make her get on top of me and ride me like a Harley

She wanna keep me company and never want depart me (no)
(Depart me) Yeah, fishtail in the parking lot (skrt, skrt)
I don't kick it with these niggas 'cause they talk about 'cha
And I got the fire, don't make me spark it out 'cha

Keep it in my back pocket like it's a wallet
Like the way she suck it, suck it like a Jolly (whoa)
Stack it up and put it with the whole project (racks)
And she got the Patek on water moccasin

I'm rich in real life, I get that profit, copy
Taste, taste, she can get a taste
Taste, taste, let you get a taste
Taste, taste, do you love the taste?

Yeah, that's cool, but he ain't like me
Taste, taste, LA you can get a taste
Taste, taste, Miami you can get a taste
Taste, taste, Oakland you can get a taste

Taste, taste, New York do you love the taste?
Taste, taste, Chi-Town you can get a taste
Taste, taste, Houston you can get a taste
Taste, taste, Portland you can get a taste

Taste, taste, overseas let them bitches taste
Taste, taste, she can get a taste
Taste, taste, she can get a taste
Taste, taste, do you love the taste?
Taste, taste, worldwide they gon' get a taste.
","Taste (feat. Offset)","Tyga"
"Feels like we're on the edge right now
I wish that I could say I'm proud
I'm sorry that I let you down
I let you down

All these voices in my head get loud
I wish that I could shut them out
I'm sorry that I let you down
Let you down

Yeah, I guess I'm a disappointment
Doing everything I can
I don't wanna make you disappointed
It's annoying
I just wanna make you feel like everything I ever did
Was never tryna make an issue for you
But I guess the more you thought about everything
You were never even wrong in the first place, right?

Yeah, I'ma just ignore you, walking towards you
With my head down, lookin' at the ground, I'm embarrassed for you
Paranoia, what did I do wrong this time? That's parents for you
Very loyal? Shoulda had my back but you put a knife in it
My hands are full, what else should I carry for you?
I cared for you, but

Feels like we're on the edge right now
I wish that I could say I'm proud
I'm sorry that I let you down
Let you down

All these voices in my head get loud
I wish that I could shut them out
I'm sorry that I let you down
Let you down

Yeah, you don't wanna make this work
You just wanna make this worse
Want me to listen to you
But you don't ever hear my words
You don't wanna know my hurt, yet
Let me guess
You want an apology, probably
How can we keep going at a rate like this?
We can't, so I guess I'ma have to leave

Please don't come after me
I just wanna be alone right now, I don't really wanna think at all
Go ahead, just drink it off
Both know you're gonna call tomorrow like nothing's wrong
Ain't that what you always do?
I feel like every time I talk to you
You're in an awful mood
What else can I offer you?
There's nothing left right now, I gave it all to you

Feels like we're on the edge right now
I wish that I could say I'm proud
I'm sorry that I let you down
Let you down

All these voices in my head get loud
I wish that I could shut them out
I'm sorry that I let you down
Let you down

Yeah, don't talk down to me
That's not gonna work now
Packed all my clothes and I moved out
I don't even wanna go to your house
Everytime I sit on that couch I feel like you lecture me
Eventually, I bet that we could have made this work
And probably woulda figured things out

But I guess I'm a letdown
But it's cool, I checked out
Oh, you wanna be friends now?
Okay, let's put my fake face on and pretend now
Sit around and talk about the good times
That didn't even happen
I mean, why are you laughing?
Must have missed that joke let me see if I can find a reaction
No, but at least you're happy

Feels like we're on the edge right now
I wish that I could say I'm proud
I'm sorry that I let you down
Oh, I let you down

All these voices in my head get loud
And I wish that I could shut them out
I'm sorry that I let you down
Oh, let you down

Yeah, I'm sorry
I'm so sorry now
Yeah, I'm sorry
That I let you down
","Let You Down","NF"
"If I hit it one time, I'ma pipe her
If I hit it two times, then I like her
If I fuck three times, I'ma wife her
It ain't safe for the black or the white girls

It ain't safe, it ain't safe
It ain't safe, it ain't safe
Tell your man pipe up, nigga pipe up
Hunnit bands from the safe
In your face, what'd you say? (Ayy, ayy, ayy)
Money, dance, turn this shit into a nightclub (Ayy, ayy, ayy)

Yeah, fuck with me and get some money (Yeah, ayy)
Fuck with me and get some money (Ayy, yeah)
Fuck with me and get some money (Ayy, yeah)
Fuck with G and get some money

No limit, I'm a fucking soldier, ayy
Always lit, yeah, I'm never sober
It's been three days in a row, your bitch coming over
Told that bitch to kick rock, she act like it's a boulder, ayy

'Rari, shopping, let me, cop it
Always, poppin', hella, poppin'
She's a bopper, homie, hoppin'
Ain't no, stopping, album, dropping

Got the city on fire
Bitch lying on me like she tired
I might have to fuck around and call Kamaiyah
Hoe stirring up the pot, jambalaya (Young Gerald)

If I hit it one time, I'ma pipe her
If I hit it two times, then I like her
If I fuck three times, I'ma wife her
It ain't safe for the black or the white girls

It ain't safe, it ain't safe
It ain't safe, it ain't safe
Tell your man pipe up, nigga pipe up
Hunnit bands from the safe
In your face, what'd you say? (Ayy, ayy, ayy)
Money, dance, turn this shit into a nightclub (Ayy, ayy, ayy)

Yeah, fuck him then I get some money, yeah
Fuck him then I get some money, yeah
Fuck him then I get some money, yeah
Fuck him then I get some money

I need tongue, I need face
Give me brain, concentrate
Apple phone, Prada case
Kill a weave, rock a lace
Fuck the Moet, buy the ACE
Fuck the Ghost, drive a Wraith
Get some money, flood the Rollie
Fuck the Rollie, Patek face

My career takin' off
These hoes jogging in place
Swear these hoes run they mouth
How these hoes out of shape?
Can you stop with all the subs?
Bitch I ain't Jared
If you really want some smoke
You can pull up, you can get it

Grab a hand full of braids, make a nigga eat me out
Put a white boy on Sazón
I might turn G-Eazy out
Keep it G from the club 'til the end, from the start
You know me, Cardi B
Pussy poppin' on the charts, ah, ah

If I hit it one time I'ma pipe her
If I hit it two times then I like her
If I fuck three times I'ma wife her
It ain't safe for the black or the white girls

It ain't safe, it ain't safe
It ain't safe, it ain't safe
Tell your man pipe up, nigga pipe up
Hunnit bands from the safe (Ayy, ayy, ayy)
In your face, what'd you say? (Ayy, ayy, ayy)
Money, dance, turn this shit into a nightclub (Ayy, ayy, ayy)

Yeah, fuck with me and get some money, yeah ayy
Fuck with me and get some money (Ayy, yeah)
Fuck with me and get some money (Ayy, yeah)
Fuck with G and get some money

Yeah it ain't nice fam
You could study where I'm from on my Viceland
This is nothing new to me, this my life fam
I can pull a million girls from my mic stand
Pull one at my show 'cause I like fans
Later on I got two in my night plans
Man this year I got three hundred one night stands
Keep a Costco pack of rubbers in my night stand

Damn Daniel, back again with the, hah, Saint Laurent
Ayy, they send me product, yeah it's retarded
Ayy, this is free, ayy, bitch you brought it
Bitch you on my dick, ayy, bitch get off it

If I hit it one time I'ma pipe her
If I hit it two times then I like her (I like her)
If I fuck three times I'ma wife her (Wife her)
It ain't safe for the black or the white girls

It ain't safe, it ain't safe
It ain't safe, it ain't safe
Tell your man pipe up, nigga pipe up
Hunnit bands from the safe (Ayy, ayy, ayy)
In your face, what'd you say? (Ayy, ayy, ayy)
Money, dance, turn this shit into a nightclub (Ayy, ayy, ayy)

Yeah, fuck with me and get some money, yeah ayy
Fuck with me and get some money (Ayy, yeah)
Fuck with me and get some money (Ayy, yeah)
Fuck with G and get some money
","No Limit (feat. A$AP Rocky & Cardi B)","G-Eazy"
"I can still shut down a party
I can hang with anybody
I can drink whiskey and red wine
Champagne all night
Little Scotch on the rocks and I'm fine, I'm fine

But when I taste tequila, baby I still see ya
Cuttin' up the floor in a sorority t-shirt
The same one you wore when we were
Sky high in Colorado, your lips pressed against the bottle
Swearin' on a Bible, baby, I'd never leave ya
I remember how bad I need ya, when I taste tequila (when I, when I, when I)
When I taste tequila (when I, when I, when I)

I can kiss somebody brand new and not even think about you
I can show up to the same bar
Hear the same songs in my car
Baby, your memory it only hits me this hard

When I taste tequila, baby I still see ya
Cuttin' up the floor in a sorority t-shirt
The same one you wore when we were
Sky high in Colorado, your lips pressed against the bottle
Swearin' on a Bible, baby, I'd never leave ya
I remember how bad I need ya, when I taste tequila (when I, when I, when I)
When I taste tequila (when I, when I, when I)

I ain't even drunk, I ain't even drunk
And I'm thinkin'
How I need your love, how I need your love
Yeah, it sinks in

When I taste tequila, baby I still see ya
Sorority t-shirt, the same one you wore when we were
Sky high in Colorado, your lips pressed against the bottle
Swearin' on a Bible, baby, I'd never leave ya
I remember how bad I need ya, when I taste tequila
When I taste tequila
When I taste tequila
When I taste tequila
","Tequila","Dan + Shay"
"Can't keep my hands to myself
Think I'll dust 'em off, put 'em back up on the shelf
In case my little baby girl is in need
Am I coming out of left field?

Ooh-woo, I'm a rebel just for kicks, now
I been feeling it since 1966, now
Might be over now, but I feel it still
Ooh-woo, I'm a rebel just for kicks, now
Let me kick it like it's 1986, now
Might be over now, but I feel it still

Got another mouth to feed
Leave it with a baby sitter, mama, call the grave digger
Gone with the fallen leaves
Am I coming out of left field?

Ooh-woo, I'm a rebel just for kicks, now
I been feeling it since 1966, now
Might've had your fill, but you feel it still
Ooh-woo, I'm a rebel just for kicks, now
Let me kick it like it's 1986, now
Might be over now, but I feel it still

We could fight a war for peace
(Ooh-woo, I'm a rebel just for kicks, now)
Give in to that easy living
Goodbye to my hopes and dreams
Start flipping for my enemies
We could wait until the walls come down
(Ooh-woo, I'm a rebel just for kicks, now)
It's time to give a little to the kids in the middle
But, oh, until it falls won't bother me

Is it coming?
Is it coming?
Is it coming?
Is it coming?
Is it coming?
Is it coming back?

Ooh-woo, I'm a rebel just for kicks
Yeah, your love is an abyss for my heart to eclipse, now
Might be over now, but I feel it still

Ooh-woo, I'm a rebel just for kicks, now
I've been feeling it since 1966, now
Might be over now, but I feel it still
Ooh-woo, I'm a rebel just for kicks, now
Let me kick it like it's 1986, now
Might be over now, but I feel it still
Might've had your fill, but I feel it still
","Feel It Still","Portugal. The Man"
